MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
303686010	271	J6900	J690000	Congenital coeliac disease	197478000	303686010	NA	32
303687018	1546	J6901	J690100	Acquired coeliac disease	197479008	303687018	NA	32
303690012	10941	J690z	J690z00	Coeliac disease NOS	396331005	1772803017	NA	32
411383013	21	J690-1	J690.11	Coeliac rickets	275404008	411383013	NA	32
1772803017	663043	J690	J690.00	Coeliac disease	396331005	1772803017	NA	32
131661000006114	87	J690-4	J690.14	Sprue - nontropical	396331005	1772803017	NA	32
1119251000000112	2864	68W4	68W4.00	Coeliac disease autoantibody profile positive	443718009	2839516019	NA	1
1651841000000119	3417	9mB	9mB..00	Coeliac disease monitoring invitation	750871000000108	1651841000000119	NA	37
1651881000000110	37	9mB0	9mB0.00	Coeliac disease monitoring telephone invitation	750891000000107	1651881000000110	NA	37
1651921000000116	307	8IAp	8IAp.00	Coeliac disease annual review declined	750911000000105	1651921000000116	NA	32
1655141000000110	3127	9mB1	9mB1.00	Coeliac disease monitoring invitation first letter	752301000000106	1655141000000110	NA	37
1655181000000119	703	9mB2	9mB2.00	Coeliac disease monitoring invitation second letter	752321000000102	1655181000000119	NA	37
1655221000000112	204	9mB3	9mB3.00	Coeliac disease monitoring invitation third letter	752341000000109	1655221000000112	NA	37
1687291000006116	224	EMISNQCO51	NA	Coeliac leaflet given	1687291000006100	1687291000006116	NA	32
1689381000000112	4522	6648	6648.00	Coeliac disease monitoring	703970007	3011518017	NA	1
1689421000000115	9189	66480	6648000	Coeliac disease annual review	473213008	2956273012	NA	1
1745841000006119	131	EMISNQCO76	NA	Coeliac disease monitoring administration	1745841000006103	1745841000006119	NA	37
1745851000006117	1471	EMISNQCO77	NA	Coeliac disease monitoring 1st letter	1745851000006101	1745851000006117	NA	37
1745861000006115	448	EMISNQCO78	NA	Coeliac disease monitoring 2nd letter	1745861000006104	1745861000006115	NA	37
1745871000006110	196	EMISNQCO79	NA	Coeliac disease monitoring 3rd letter	1745871000006106	1745871000006110	NA	37
1745881000006113	27	EMISNQCO80	NA	Coeliac disease monitoring phone invite	1745881000006109	1745881000006113	NA	37
1745891000006111	2	EMISNQCO81	NA	Coeliac disease annual review declined	1745891000006107	1745891000006111	NA	32
1747701000006119	10	EMISNQCO84	NA	Coeliac disease monitoring	1747701000006103	1747701000006119	NA	1
1747711000006116	185	EMISNQCO85	NA	Coeliac disease annual review	1747711000006100	1747711000006116	NA	1
1859331000006118	6	EMISNQCO172	NA	Coeliac society member	1859331000006102	1859331000006118	NA	17
2263871000000118	229	13YB	13YB.00	Coeliac UK member	877071000000102	2263871000000118	NA	17
3230001000006118	77	^ESCTCO323000	NA	Coeliac infantilism	45259000	75458017	NA	32
3230071000006112	1	^ESCTIN323007	NA	Infant coeliac disease	45259000	494142012	NA	32
3992891000006113	149	^ESCTAD399289	NA	Adult form of coeliac disease	91867008	509751016	NA	31
5741741000006110	124	^ESCTCO574174	NA	Coeliac disease diet education	289134009	2575913016	NA	31
6567641000006119	1	^ESCTCO656764	NA	Coeliac crisis	396330006	1772802010	NA	31
6567671000006110	11	^ESCTCE656767	NA	Celiac disease	396331005	1774089018	NA	32
6567681000006113	30	^ESCTCD656768	NA	CD - Coeliac disease	396331005	1783556014	NA	32
6567721000006118	6	^ESCTCO656772	NA	Coeliac syndrome	396331005	1783560012	NA	32
6567731000006115	1	^ESCTCD656773	NA	CD - Celiac disease	396331005	1783948015	NA	32
